the fruit|het fruit
the vegetable|de groente
the vegetables|de groentes
the carrot|de wortel
the carrots|de wortels
the bean|de boon
the beans|de bonen
the pea|de erwt
the peas|de erwten
the spinach|de spinazie
the kale|de boerenkool
the sausage|de worst
the sausages|de worsten
the garlic|de knoflook
the lettuce|de sla
the cucumber|de komkommer
the bell pepper|de paprika
the bell peppers|de paprika's
the tomato|de tomaat
the tomatoes|de tomaten
the onion|de ui
the onions|de uien
the egg|het ei
the eggs|de eiren
the soup|de soep
the rice|de rijst
the pepper|de peper
the salt|het zout
the sugar|de suiker
the sugars|de suikers
the apple|de appel
the apples|de appels
the pear|de peer
the pears|de peren
the banana|de banaan
the bananas|de bananen
the peach|de perzik
the peaches|de perziken
the apricot|de abrikoos
the apricots|de abrikozen
the orange|de sinaasappel
the oranges|de sinaasappels
the mandarin|de mandarijn
the mandarins|de mandarijnen
the lemon|de citroen
the lemons|de citroenen
the plum|de pruim
the plums|de pruimen
the melon|de meloen
the melons|de meloenen
the watermelon|de watermeloen
the watermelons|de watermeloenen
the berry|de bes
the berries|de bessen
the raspberry|de framboos
the raspberries|de frambozen
the cherry|de kers
the cherries|de kersen
the strawberry|de aardbei
the strawberries|de aardbeien
the potato|de aardappel
the potatoes|de aardappelen
the meat|het vlees
the meats|de vleessoorten
the chicken|de kip
the chickens|de kippen
the fish|de vis
the fish (plural)|de vissen
the beef|het rundvlees
the duck|de eend
the veal|het kalfsvlees
the ham|de ham
the turkey|de kalkoen
the turkies|de kalkoenen
the bacon|de spek
the pork|het varkensvlees
the filet mignon|de filet mignon
the lamb chop|de lamskotelet
the lamb chops|de lamskoteletjes
