the performance|la actuación
pleasant (adjective ends in e)|agradable
the atmosphere|el ambiente
old (masculine) (starts with a)|antiguo
old (feminine) (starts with a)|antigua
the battle|la batalla
the horse|el caballo
the shirt|la camisa
the competition|el concurso
to commemorate|conmemorar
the custom|la costumbre
the parade, procession|el desfile
the devil|el diablo
to enjoy oneself|divertirse
exciting (adjective ends in e)|emocionante
the bull run|el encierro
to find (starts with e)|encontrar
to understand (starts with e)|entender
to train oneself|entrenarse
strange (masculine)|extraño
strange (feminine)|extraña
the show, display|el espectáculo
awful (starts with f)|fatal
to form|formar
impressive (adjective ends in e)|impresionante
uncomfortable (masculine)|incómodo
uncomfortable (feminine)|incómoda
to wear, take, carry|llevar
the Moor (historically a person from North Africa) (male)|el moro
the Moor (historically a person from North Africa) (female)|la mora
no one|nadie
the origin|el origen
to have a good time|pasarlo bien
the danger|el peligro
dangerous (masculine)|peligroso
dangerous (feminine)|peligrosa
over|por encima de
beautiful (starts with p) (masculine)|precioso
beautiful (starts with p) (feminine)|preciosa
to jump|saltar
the safety, security|la seguridad
the luck|la suerte
the bull|el toro
the tower|la torre
the suit, costume|el traje
only, unique (masculine)|único
only, unique (feminine)|única
several (masculine)|varios
several (feminine)|varias
to dress|vestirse
to go to bed|acostarse
to close|cerrar
to catch|coger
short (masculine)|corto
short (feminine)|corta
it is hot|hace calor
to get up|levantarse
husband (starts with m)|marido
wife (starts with m)|marida
the majority|la mayoría
the computer (starts with o)|el ordenador
the partner, couple|la pareja
the walk, stroll|el paseo
the square|la plaza
to try, to try out (starts with p)|probar
to stay (e.g at home)|quedarse
to clear the table|quitar la mesa
a while, whort time|un rato
to relax|relajarse
to get together|reunirse
the chat people have at the table after a meal|la sobremesa
to bring|traer
the ancestors (male)|el antepasados
the ancestors (female)|la antepasadas
to appear|aparecer
the sugar (can be el or la, answer this without an article)|azúcar
the skull (starts with ca)|la calavera
to be held (as in, for a celebration to take place)|celebrarse
the cementry|el cementerio
close to, near to|cerca de
the city, town|la ciudad
to start (starts with c)|comenzar
completely|completamente
the parade|el desfile
dressed up, disguised (masculine)|disfrazado
dressed up, disguised (feminine)|disfrazada
lit (masculine)|encendido
lit (feminine)|encendida
the skeleton|el esqueleto
the tin|el estaño
the family members (male)|los familiares
the family members (female)|las familiares
the flower|la flor
hispanic (i.e of the spanisk speaking world) (masculine)|hispánico
hispanic (i.e of the spanisk speaking world) (feminine)|hispánica
mine (masculine)|mío
mine (feminine)|mía
the miner (masculine)|minero
the miner (feminine)|minero
the mole sauce|el mole
the mountain|la montaña
dead (masculine)|muerto
dead (feminine)|muerta
the normality|la normalidad
numerous (masculine)|numeroso
numerous (feminine)|numerosa
to offer|ofrecer
the silver|la plata
the procession|la procesión
the village, (small) town|el pueblo
the present, gift|el regalo
sad (adjective ends in e)|triste
the grave|la tumba
the candle|la vela
to sell|vender
old (starts with v) (masculine)|viejo
old (starts with v) (feminine)|vieja
apart from|aparte de
to attend|asistir
the area, neighbourhood|el barrio
the rubbish, litter|la basura
the firefighter (male)|el bombero
the firefighter (female)|la bombera
pretty (masculine)|bonito
pretty (feminine)|bonita
the quantity|la cantidad
the carpenter (male)|el carpintero
the carpenter (female)|la carpintero
the wax|la cera
to build (starts with c)|construir
to employ|contratar
the mess|el desorden
to wake up|despertarse
the one that (masculine)|el que
the one that (feminine)|la que
straight away|en seguida
the show, display|el espectáculo
great, fantastic (masculine)|estupendo
great, fantastic (feminine)|estupenda
great, amazing|fenomenal
the fair (e.g book fair)|la feria
the festivities|los festejos
the fireworks|los fuegos artificiales
to win, to earn, to gain|ganar
to spend|gastar
the people|la gente
Greece|Grecia
to keep (starts with g)|guardar
the bonfire|la hoguera
the language|el idioma
to clean|limpiar
full (masculine)|lleno
full (feminine)|llena
the wood|la madera
to watch, to look|mirar
to bother, to annoy|molestar
the museum|el museo
the name|el nombre
to hear|oír
the paper|el papel
worse|peor
the banger (british slang for firecracker, had to look that up)|el petardo
the prize (starts with p)|el premio
to set fire|prender fuego
the spring|la primavera
the beginning|el principio
to burn|quemar
the souvenir|el recuerdo
the remains|los restos
the noise|el ruido
however|sin embargo
to go up|subir
the workshop|el taller
the theme|el tema
the trend|la tendencia
the shop|la tienda
to throw|tirar
last (masculine)|último
last (feminine)|última
