to thank|agradecer
to learn|aprender
the amazement, surprise|el asombro
the children's home|el centro de menores tutelados
to tell (a story), relate|contar
the school year, course|el curso
the others (masculine)|el demás
the others (feminine)|la demás
to wait for, hope, expect|esperar
to be part of (literally: "to form part")|formar parte
to make the bed|hacer la cama
the language|el idioma
useless|inútil
the aim, purpose, objective (starts with p)|el propósito
to deliver, hand out|repartir
to be sleepy|tener sueño
the charity shop|el tienda solidaria
useful|útil
to walk|andar
the pocket|el bolsillo
to contribute|contribuir
to nauseate|dar asco
the drawing|el dibujo
to donate|donar
threatened (with extinction)|en vías de extinción
scarse (masculine)|escaso
scarse (feminine)|escasa
the exhibition|la exposición
winner (male)|el ganador
winner (female)|la ganadora
to win|ganar
to spend|gastar
the facilities|las instalaciones
the environment|el medio ambiente
the charity, charitable works|las obras benéficas
the loss|la pérdida
belonging to|perteneciente a
the politician (male)|el político
the politician (female)|la político
the resources|los recursos
HIV positive (male)|seropositivo
HIV positive (female)|seropositiva
the AIDS|el sida
to fear|temer
to fancy, feel like (I fancy)|apetecer (me apetece)
to pass an exam|aprobar
the cigarette|el cigarrillo
in moderation|con moderación
to get|conseguir
the advice (starts with c)|el consejo
to run|correr
the soft drug|la droga blanda
the hard drug|la droga dura
to take drugs|drogarse
the exercise|el ejercicio
to be on a diet|estar a dieta
the stress|el estrés
stressed (masculine)|estresado
stressed (feminine)|estresada
stressful, stressing|estresante
to smoke|fumar
to get up|levantarse
to keep fit|mantenerse en forma
to worry|preocuparse
to try, to taste, to have a go|probar
the recipe|la receta
to feel (emotions)|sentirse
to overcome (starts with s)|superar
to put up with, to bear (stats with a)|aguantar
disgusting (masculine)|asqueroso
disgusting (feminine)|asquerosa
the heart attack|el ataque cardiaco
to increase|aumentar
the drinking party in the street|el botellón
more and more|cada vez más
the brain|el cerebro
the consumption|el consumo
heart|corazón
as soon as possible|cuanto antes
the drug addict (male)|el drogadicto
the drug addict (female)|la drogadicta
the age|la edad
the survey|la encuesta
to face|enfrentar
serious (starts with g)|grave
to injure, to harm (literally: to do harm)|hacer daño
the liver|el hígado
harmful (masculine)|nocivo
harmful (feminine)|nociva
to take part|participar
to ask|pedir
the first aid|los primeros auxilios
to prohibit, to forbid|prohibir
to cause, to provoke|provocar
the lung|el pulmón
to reduce|reducir
the withdrawal symptoms|el síndrome de abstinencia
the excess weight, obesity|el sobrepeso
to go up|subir
the addiction to tobacco|el tabaquismo
the sale (starts with v)|la venta
the sale (starts with r)|la rebaja
the food bank|el banco de alimentos
