the animal|het dier
the animals|de dieren
the pet|het huisdier
the pets|de huisdieren
the dog|de hond
the dogs|de honden
the cat|de kat
the cats|de katten
the mouse|het muis
the mice|de muizen
the rabbit|het konijn
the rabbits|de konijnen
the hare|de haas
the hares|de hazen
the farm|de boerderij
the farms|de boerderijen
the cow|de koe
the cows|de koeien
the horse|de paard
the horses|de paarden
the pig|het varken
the pigs|de varkens
the donkey|de ezel
the donkeys|de ezels
the chicken|de kip
the chickens|de kippen
the cockerel|de haan
the cockerels|de hanen
the bird|de vogel
the birds|de vogels
the duck|de eend
the ducks|de eenden
the swan|de zwaan
the swans|de zwanen
the goose|de gans
the geese|de ganzen
the stork|de ooievaar
the storks|de ooivaars
the sparrow|de mus
the sparrows|de mussen
the pigeon|de duif
the pigeons|de duiven
the fish|de vis
the fish (plural)|de vissen
the deer|het hert
the deer (plural)|de herten
the insect|het insect
the insects|de insecten
the fly|de vlieg
the flies|de vliegen
the bee|de bij
the bees|de bijen
the butterfly|de vlinder
the butterflies|de vlinders
the spider|de spin
the spiders|de spinnen
the animal, the beast|het beest
the animals, the beasts|de beesten
the turtle|de schildpad
the turtles|de schildpadden
the hamster|de hamster
the hamsters|de hamsters
the goldfish|de goudvis
the goldfish (plural)|de goudvissen
the sheep|het schaap
the sheep (plural)|de schapen
the goat|de geit
the goats|de geiten
the fox|de vos
the foxes|de vossen
wild|wild
the ant|de mier
the ants|de mieren
the mosquito|de mug
the mosquitoes|de muggen
the frog|de kikker
the frogs|de kikkers
the snail|de slak
the snails|de slakken
the squirrel|de eekhoorn
the squirrels|de eekhoorns
the dolphin|de dolfijn
the dolphins|de dolfijnen
the seal|de zeehond
the seals|de zeehonden
the whale|de walvis
the whales|de walvissen
the shark|de haai
the sharks|de haaien
the zoo|de dierentuin
the zoos|de dierentuinen
the monkey|de aap
the monkeys|de apen
the elephant|de olifant
the elephants|de olifanten
the bear|de beer
the bears|de beren
the wolf|de wolf
the wolves|de wolven
the giraffe|de giraffe
the giraffes|de giraffen
the snake|de slang
the snakes|de slangen
the crocodile|de krokodil
the crocodiles|de krokodillen
the camel|de kameel
the camels|de kamelen
the tiger|de tijger
the tigers|de tijgers
the lion|de leeuw
the lions|de leeuwen
