at the beginning of|a principios de
the administer, clerk, office worker (male)|el administrativo
the administer, clerk, office worker (female)|la administrativa
ambitious (masculine)|amicioso
ambitious (feminine)|amiciosa
lively (like "animated") (masculine)|animado
lively (like "animated") (feminine)|animada
to tidy, sort, fix, arrange (starts with a)|arreglrar
the aspect, appearance|el aspecto
to attend to|atender a
the till, the checkout|la caja
the campsite, the camping|el camping
the butcher (male)|el carcinero
the butcher (female)|la carcinera
the carpenter (male)|el carpintero
the carpenter (female)|la carpintera
the letter (that you write and send)|la carta
the knowledge (plural form) (strarts with c)|los conocimientos
the email|el correo electrónico
polite, courteous (adjective with c)|cortés
to care for, look after|cuidar a
the shop assistant (male)|el dependiente
the shop assistant (female)|la dependiente
the detail (starts with d)|el detalle
to be fluent in a language (literally: to dominate a language)|dominar un idioma
the electrician (male)|el electricista
the electrician (female)|la electricista
the employee (male)|el empleado
the employee (female)|la empleada
the company, firm (starts with e)|la empresa
straight away|en seguida
the energy|la energía
reliable (starts with f)|fiable
the people (starts with g)|la gente
the businessman|el hombre de negocios
the businesswoman|la mujer de negocios
the game|el juego
the primary school teacher (male)|el maestro
the primary school teacher (female)|la maestra
older (starts with m)|mayor
organised (masculine)|organizado
organised (feminine)|organizada
patient (adjective ends in e)|paciente
the bakery|la panadería
the baker (male)|el panadero
the baker (female)|la panadera
practical (feminine)|práctico
practical (male)|práctica
the problem|la problema
the receptionist (male)|el recepcionista
the receptionist (female)|la recepcionista
to serve|servir
honest (starts with s) (masculine)|sincero
honest (starts with s) (feminine)|sincera
the envelope|el sobre
the wage (starts with s) (1 letter away from being "floor")|el sueldo
hard-working (masculine)|trabajador
hard-working (feminine)|trabajadora
the translator (male)|el traductor
the translator (female)|la traductora
the term|el trimestre
the variety|la variedad
the lawyer (male)|el abogado
the lawyer (female)|la abogada
the builder, bricklayer (ending does not change between gender) (male)|el albañil
the builder, bricklayer (ending does not change between gender) (female)|la albañil
the house husband|el amo de casa
the housewife|la ama de casa
to move up (like "to ascend")|ascender
the flight attendant (male)|el azafato
the flight attendant (female)|la azafata
the cashier (male)|el cajero
the cashier (female)|la cajera
the lorry driver (male)|el caminoero
the lorry driver (female)|la caminoera
the capacity, ability (to do something)|la capacidad
the postal worker (male)|el cartero
the postal worker (female)|la cartera
the customer (like "client") (ending doesn't change between gender) (male)|el cliente
the customer (like "client") (ending doesn't change between gender) (female)|la cliente
the airline|la compañía aérea
to share|compartir
the accountant (like "countable") (male)|el contable
the accountant (like "countable") (female)|la contable
the account|la cuenta
to design|diseñar
fixed, permanent (masculine)|fijo
fixed, permanent (feminine)|fija
the training (like "formation")
to function|funcionar
the manager (ending doesn't change between gender) (male)|el gerente
the manager (ending doesn't change between gender) (female)|la gerente
the farmer (male)|el granjero
the farmer (female)|la granjera
the flexitime, flexible working hours|las horas de trabajo flexibles
the gardener (male)|el jardinero
the gardener (female)|la jardinera
the boss (male)|el jefe
the boss (female)|la jefa
to clean|limpiar
the rain|la lluvia
to improve|mejorar
the hairdresser's|la peluquería
the hairdresser (male)|el peluquero
the hairdresser (female)|la peluquera
the prospect (like "perspective")|la perspectiva
the project|el proyecto
the corner|el rincón
temporary|temporal
the wind|el viento
as, since (2 words, starts with y)|ya que
