free time|vrije tijd
the hobby|de hobby
the hobbies|de hobby's
to travel|reizen
the holiday|de vakantie
the holidays|de vakanties
camping|kamperen
the beach|het strand
the beaches|de stranden
to sunbathe|zonnen
the theme park|het pretpark
the theme parks|de pretparken
gardening|het tuinieren
the language|de taal
to learn a language|een taal leren
to exercise|sporten
to run|hardlopen
to go for a walk (1 word)|wandelen
to play tennis|tennissen
to play hocky|hockeyen
to have a drink (starts with b)|borrelen
to go out for dinner (3 words)|uit eten gaan
to go out|uitgaan
to go out drinking|stappen
to be drunk|dronken zijn
to cook|koken
art|de kunst
the birthday|de verjaardag
to celebrate a birthday (3 words)|een verjaardag vieren
it's his birthday|hij is jarig
it's her birthday|zij is jarig
to sing|zingen
to dance|dansen
to go shopping (1 word starts with w)|winkelen
